Category,Title,Date,Summary,Article URL,Source
IS,Webinar: From noise to signal - What threat actors are targeting next,2026-04-09T12:20:28Z,"Threat actors often signal their intentions before launching attacks, from dark web chatter to access-broker listings and credential requests. Join our upcoming webinar with Flare Systems to learn how to turn those early warning signs into proactive defensive action before an intrusion begins. [...]",https://www.bleepingcomputer.com/news/security/webinar-from-noise-to-signal-what-threat-actors-are-targeting-next/,BleepingComputer
Fintech Watch,Raiffeisen Bank reaffirms long-standing commitment to powering core retail services with Finastra,2026-04-09T12:00:00Z,,https://www.finastra.com/press-media/raiffeisen-bank-reaffirms-long-standing-commitment-powering-core-retail-services,Finastra
IS,"Eurail says December data breach impacts 300,000 individuals",2026-04-09T10:31:54Z,"Eurail B.V., a European travel operator that provides digital passes covering 33 national railways, says attackers stole the personal information of over 300,000 individuals in a December 2025 data breach. [...]",https://www.bleepingcomputer.com/news/security/eurail-says-december-data-breach-impacts-300-000-individuals/,BleepingComputer
Compliance Watch,Don’t miss the Metro 2® Format Advanced Workshop in Las Vegas!,2026-04-09T10:00:37Z,"Don’t miss the Metro 2® Format Advanced Workshop—an in-person experience Nov. 17-18 in Las Vegas, where complex reporting challenges take center stage—and experienced industry... The post Don’t miss the Metro 2® Format Advanced Workshop in Las Vegas! appeared first on CDIA .",https://www.cdiaonline.org/events/2026/04/09/dont-miss-the-metro-2-format-advanced-workshop-in-las-vegas/,CDIA
Compliance Watch,Wolters Kluwer news,2026-04-09T10:00:00Z,"Wolters Kluwer today published the agenda and all related materials for the 2026 Annual General Meeting of Shareholders (AGM) to be held on May 21, 2026.",https://www.wolterskluwer.com/en/news/wolters-kluwer-publishes-agenda-for-2026-annual-general-meeting,Wolters Kluwer
IS,Hackers exploiting Acrobat Reader zero-day flaw since December,2026-04-09T09:22:35Z,Attackers have been exploiting a zero-day vulnerability in Adobe Reader using maliciously crafted PDF documents since at least December. [...],https://www.bleepingcomputer.com/news/security/hackers-exploiting-acrobat-reader-zero-day-flaw-since-december/,BleepingComputer
IS,CVE-2026-4897 Polkit: polkit: denial of service via unbounded input processing through standard input,2026-04-09T08:40:37Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-4897,Microsoft MSRC
IS,CVE-2026-21715,2026-04-09T08:40:20Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21715,Microsoft MSRC
IS,CVE-2026-21710,2026-04-09T08:40:13Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21710,Microsoft MSRC
IS,CVE-2026-21716,2026-04-09T08:40:06Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21716,Microsoft MSRC
IS,CVE-2026-21714,2026-04-09T08:39:59Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21714,Microsoft MSRC
IS,CVE-2026-21713,2026-04-09T08:39:52Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21713,Microsoft MSRC
IS,CVE-2026-21717,2026-04-09T08:39:45Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21717,Microsoft MSRC
IS,CVE-2025-66038 OpenSC: `sc_compacttlv_find_tag` can return out-of-bounds pointers,2026-04-09T08:39:38Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-66038,Microsoft MSRC
IS,CVE-2025-66037 OpenSC: Out of Bounds vulnerability,2026-04-09T08:39:31Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-66037,Microsoft MSRC
IS,CVE-2025-66215 OpenSC: Stack-buffer-overflow WRITE in card-oberthur,2026-04-09T08:39:25Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-66215,Microsoft MSRC
IS,CVE-2025-49010 OpenSC: Stack-buffer-overflow WRITE in GET RESPONSE,2026-04-09T08:39:18Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-49010,Microsoft MSRC
IS,CVE-2026-21712,2026-04-09T08:39:07Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21712,Microsoft MSRC
IS,CVE-2026-2673 OpenSSL TLS 1.3 server may choose unexpected key agreement group,2026-04-09T08:38:04Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-2673,Microsoft MSRC
IS,CVE-2026-34445 ONNX: Malicious ONNX models can crash servers by exploiting unprotected object settings.,2026-04-09T08:02:56Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-34445,Microsoft MSRC
IS,CVE-2026-34446 ONNX: Arbitrary File Read via ExternalData Hardlink Bypass in ONNX load,2026-04-09T08:02:48Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-34446,Microsoft MSRC
IS,CVE-2026-35177 Path traversal issue with zip.vim in Vim,2026-04-09T08:02:39Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-35177,Microsoft MSRC
IS,CVE-2026-34982 Vim modeline bypass via various options affects Vim < 9.2.0276,2026-04-09T08:02:34Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-34982,Microsoft MSRC
IS,CVE-2026-35093 Libinput: libinput: unauthorized code execution and information disclosure through lua bytecode plugins,2026-04-09T08:02:29Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-35093,Microsoft MSRC
IS,CVE-2026-28388 NULL Pointer Dereference When Processing a Delta CRL,2026-04-09T08:02:20Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-28388,Microsoft MSRC
IS,CVE-2026-31790 Incorrect Failure Handling in RSA KEM RSASVE Encapsulation,2026-04-09T08:02:14Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-31790,Microsoft MSRC
IS,CVE-2026-28387 Potential Use-after-free in DANE Client Code,2026-04-09T08:02:09Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-28387,Microsoft MSRC
IS,CVE-2026-31789 Heap Buffer Overflow in Hexadecimal Conversion,2026-04-09T08:02:03Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-31789,Microsoft MSRC
IS,CVE-2026-39314 CUPS has an integer underflow in `_ppdCreateFromIPP` causes root cupsd crash via negative `job-password-supported`,2026-04-09T08:01:57Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-39314,Microsoft MSRC
IS,CVE-2026-39316 CUPS has a use-after-free in `cupsdDeleteTemporaryPrinters` via dangling subscription pointer,2026-04-09T08:01:51Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-39316,Microsoft MSRC
IS,CVE-2026-34990 OpenPrinting CUPS: Local print admin token disclosure using temporary printers,2026-04-09T08:01:45Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-34990,Microsoft MSRC
IS,CVE-2026-34980 OpenPrinting CUPS: Shared PostScript queue lets anonymous Print-Job requests reach `lp` code execution over the network,2026-04-09T08:01:40Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-34980,Microsoft MSRC
IS,CVE-2026-34979 OpenPrinting CUPS: Heap overflow in `get_options()`,2026-04-09T08:01:35Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-34979,Microsoft MSRC
IS,CVE-2026-34978 OpenPrinting CUPS: Path traversal in RSS notify-recipient-uri enables file write outside CacheDir/rss (and clobbering of job.cache),2026-04-09T08:01:30Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-34978,Microsoft MSRC
IS,CVE-2026-34933 Avahi: Reachable assertion in `transport_flags_from_domain()` via conflicting publish flags crashes avahi-daemon,2026-04-09T08:01:25Z,Information published.,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-34933,Microsoft MSRC
IS,Hackers steal $3.6 million from crypto ATM giant Bitcoin Depot,2026-04-09T07:44:55Z,"Bitcoin Depot, which operates one of the largest Bitcoin ATM networks, says attackers stole $3.665 million worth of Bitcoin from its crypto wallets after breaching its systems last month. [...]",https://www.bleepingcomputer.com/news/security/crypto-atm-giant-bitcoin-depot-says-hackers-stole-36-million-from-its-wallets/,BleepingComputer
IS,Microsoft suspends dev accounts for high-profile open source projects,2026-04-09T06:46:26Z,"Microsoft has suspended developer accounts used to maintain multiple high-profile open-source projects without proper notification and no way to quickly reinstate them, effectively blocking them from publishing new software builds and security patches for Windows users. [...]",https://www.bleepingcomputer.com/news/microsoft/microsoft-suspends-dev-accounts-for-high-profile-open-source-projects/,BleepingComputer
Legislative,Senator Warren Statement on February 2026 PCE,2026-04-09T00:00:00Z,,https://www.banking.senate.gov/newsroom/minority/senator-warren-statement-on-february-2026-pce,Senate Banking
Legislative,Senator Warren Statement on March 2026 Jobs Report,2026-04-09T00:00:00Z,,https://www.banking.senate.gov/newsroom/minority/senator-warren-statement-on-march-2026-jobs-report,Senate Banking
Legislative,"Warren, Merkley Question Bessent Over Plan to Add Trump Signature on U.S. Currency Amid Affordability Crisis",2026-04-09T00:00:00Z,,https://www.banking.senate.gov/newsroom/minority/warren-merkley-question-bessent-over-plan-to-add-trump-signature-on-us-currency-amid-affordability-crisis,Senate Banking
Payments,"Bottomline Now a Nacha Preferred Partner for ACH Experience, Open Banking, and Risk and Fraud Prevention",2026-04-09T00:00:00Z,"RESTON, Virginia, April 9, 2026 – Nacha announced today that Bottomline has become a Nacha Preferred Partner for ACH Experience, Open Banking, and Risk and Fraud Prevention.Bottomline builds secure and resilient payment technologies which help banks and businesses move money safely and without friction. Bottomline's solutions monitor ACH transactions in real time to spot behav…",https://www.nacha.org/news/bottomline-now-nacha-preferred-partner-ach-experience-open-banking-and-risk-and-fraud,NACHA
IS,Enhance your online privacy with five years of AdGuard VPN for just $34.97,2026-04-09T00:00:00Z,,https://www.bleepingcomputer.com/offer/deals/enhance-your-online-privacy-with-five-years-of-adguard-vpn-for-just-3497/,BleepingComputer
Federal Register,Sunshine Act Meetings: Notice of Meeting Held With Less Than Seven Days' Advance Notice,2026-04-09T00:00:00Z,,https://www.federalregister.gov/documents/2026/04/09/2026-06897/sunshine-act-meetings-notice-of-meeting-held-with-less-than-seven-days-advance-notice,Federal Register
Federal Register,Meeting of the Compact Council for the National Crime Prevention and Privacy Compact,2026-04-09T00:00:00Z,The purpose of this notice is to announce a meeting of the National Crime Prevention and Privacy Compact Council (Council) created by the National Crime Prevention and Privacy Compact Act of 1998 (Compact).,https://www.federalregister.gov/documents/2026/04/09/2026-06844/meeting-of-the-compact-council-for-the-national-crime-prevention-and-privacy-compact,Federal Register
Federal Register,"Review of Foreign Ownership Policies for Broadcast, Common Carrier and Aeronautical Radio Licensees",2026-04-09T00:00:00Z,"In this document, the Federal Communications Commission (Commission or FCC) adopted a Report and Order to update foreign ownership rules for common carrier and broadcast licensees to clarify the Commission's review under section 310(b) of the Communications Act of 1934. With regard to common carrier licensees, the Report and Order adopted rules to codify existing policy regard…",https://www.federalregister.gov/documents/2026/04/09/2026-06866/review-of-foreign-ownership-policies-for-broadcast-common-carrier-and-aeronautical-radio-licensees,Federal Register
